Hardware Time,Global Time\Signal,CAN1.Diag703.Diag703_Resp_0,CAN1.Diag703.Diag703_Resp_1,CAN1.Diag703.Diag703_Resp_2,CAN1.Diag703.Diag703_Resp_3,CAN1.Diag703.Diag703_Resp_4,CAN1.Diag703.Diag703_Resp_5,CAN1.Diag703.Diag703_Resp_6,CAN1.Diag703.Diag703_Resp_7,Raw Data
474.752694,2021-05-21 22:04:54.752,33,0,0,0,0,0,0,36,CAN=474.752694 Rx 0 $703 D 8 21 00 00 00 00 00 00 24 
474.803553,2021-05-21 22:04:54.803,34,0,0,0,2,49,0,0,CAN=474.803553 Rx 0 $703 D 8 22 00 00 00 02 31 00 00 
474.854544,2021-05-21 22:04:54.854,35,21,49,0,0,11,49,0,CAN=474.854544 Rx 0 $703 D 8 23 15 31 00 00 0B 31 00 
474.905538,2021-05-21 22:04:54.905,36,0,235,48,0,0,226,48,CAN=474.905538 Rx 0 $703 D 8 24 00 EB 30 00 00 E2 30 
474.956533,2021-05-21 22:04:54.956,37,0,0,231,48,0,0,25,CAN=474.956533 Rx 0 $703 D 8 25 00 00 E7 30 00 00 19 
475.007534,2021-05-21 22:04:55.007,38,0,0,0,25,0,0,0,CAN=475.007534 Rx 0 $703 D 8 26 00 00 00 19 00 00 00 
475.058526,2021-05-21 22:04:55.058,39,25,0,0,0,150,5,0,CAN=475.058526 Rx 0 $703 D 8 27 19 00 00 00 96 05 00 
475.109523,2021-05-21 22:04:55.109,40,0,151,5,0,0,150,5,CAN=475.109523 Rx 0 $703 D 8 28 00 97 05 00 00 96 05 
475.160521,2021-05-21 22:04:55.160,41,0,0,25,0,0,0,25,CAN=475.160521 Rx 0 $703 D 8 29 00 00 19 00 00 00 19 
475.211522,2021-05-21 22:04:55.211,42,0,0,0,25,0,0,0,CAN=475.211522 Rx 0 $703 D 8 2A 00 00 00 19 00 00 00 
475.316409,2021-05-21 22:04:55.316,16,76,113,0,0,65,0,0,CAN=475.316409 Rx 0 $703 D 8 10 4C 71 00 00 41 00 00 
475.317672,2021-05-21 22:04:55.317,33,0,0,0,0,0,0,36,CAN=475.317672 Rx 0 $703 D 8 21 00 00 00 00 00 00 24 
475.368511,2021-05-21 22:04:55.368,34,0,0,0,7,49,0,0,CAN=475.368511 Rx 0 $703 D 8 22 00 00 00 07 31 00 00 
475.419501,2021-05-21 22:04:55.419,35,18,49,0,0,11,49,0,CAN=475.419501 Rx 0 $703 D 8 23 12 31 00 00 0B 31 00 
475.470501,2021-05-21 22:04:55.470,36,0,223,48,0,0,221,48,CAN=475.470501 Rx 0 $703 D 8 24 00 DF 30 00 00 DD 30 
475.521499,2021-05-21 22:04:55.521,37,0,0,229,48,0,0,25,CAN=475.521499 Rx 0 $703 D 8 25 00 00 E5 30 00 00 19 
475.572496,2021-05-21 22:04:55.572,38,0,0,0,25,0,0,0,CAN=475.572496 Rx 0 $703 D 8 26 00 00 00 19 00 00 00 
475.623488,2021-05-21 22:04:55.623,39,25,0,0,0,150,5,0,CAN=475.623488 Rx 0 $703 D 8 27 19 00 00 00 96 05 00 
475.674485,2021-05-21 22:04:55.674,40,0,151,5,0,0,150,5,CAN=475.674485 Rx 0 $703 D 8 28 00 97 05 00 00 96 05 
475.725483,2021-05-21 22:04:55.725,41,0,0,25,0,0,0,25,CAN=475.725483 Rx 0 $703 D 8 29 00 00 19 00 00 00 19 
475.776484,2021-05-21 22:04:55.776,42,0,0,0,25,0,0,0,CAN=475.776484 Rx 0 $703 D 8 2A 00 00 00 19 00 00 00 
475.881176,2021-05-21 22:04:55.881,16,76,113,0,0,65,0,0,CAN=475.881176 Rx 0 $703 D 8 10 4C 71 00 00 41 00 00 
475.88265,2021-05-21 22:04:55.882,33,0,0,0,0,0,0,36,CAN=475.88265 Rx 0 $703 D 8 21 00 00 00 00 00 00 24 
475.933473,2021-05-21 22:04:55.933,34,0,0,0,7,49,0,0,CAN=475.933473 Rx 0 $703 D 8 22 00 00 00 07 31 00 00 
475.984464,2021-05-21 22:04:55.984,35,18,49,0,0,11,49,0,CAN=475.984464 Rx 0 $703 D 8 23 12 31 00 00 0B 31 00 
476.035462,2021-05-21 22:04:56.035,36,0,223,48,0,0,221,48,CAN=476.035462 Rx 0 $703 D 8 24 00 DF 30 00 00 DD 30 
476.086459,2021-05-21 22:04:56.086,37,0,0,229,48,0,0,25,CAN=476.086459 Rx 0 $703 D 8 25 00 00 E5 30 00 00 19 
476.137458,2021-05-21 22:04:56.137,38,0,0,0,25,0,0,0,CAN=476.137458 Rx 0 $703 D 8 26 00 00 00 19 00 00 00 
476.188451,2021-05-21 22:04:56.188,39,25,0,0,0,150,5,0,CAN=476.188451 Rx 0 $703 D 8 27 19 00 00 00 96 05 00 
476.239447,2021-05-21 22:04:56.239,40,0,151,5,0,0,150,5,CAN=476.239447 Rx 0 $703 D 8 28 00 97 05 00 00 96 05 
476.290446,2021-05-21 22:04:56.290,41,0,0,25,0,0,0,25,CAN=476.290446 Rx 0 $703 D 8 29 00 00 19 00 00 00 19 
476.341447,2021-05-21 22:04:56.341,42,0,0,0,25,0,0,0,CAN=476.341447 Rx 0 $703 D 8 2A 00 00 00 19 00 00 00 
479.55093,2021-05-21 22:04:59.550,16,76,113,0,0,65,0,0,CAN=479.55093 Rx 0 $703 D 8 10 4C 71 00 00 41 00 00 
479.552263,2021-05-21 22:04:59.552,33,0,0,0,0,0,0,36,CAN=479.552263 Rx 0 $703 D 8 21 00 00 00 00 00 00 24 
479.603225,2021-05-21 22:04:59.603,34,0,0,0,29,49,0,0,CAN=479.603225 Rx 0 $703 D 8 22 00 00 00 1D 31 00 00 
479.654212,2021-05-21 22:04:59.654,35,15,49,0,0,16,49,0,CAN=479.654212 Rx 0 $703 D 8 23 0F 31 00 00 10 31 00 
479.705214,2021-05-21 22:04:59.705,36,0,198,48,0,0,216,48,CAN=479.705214 Rx 0 $703 D 8 24 00 C6 30 00 00 D8 30 
479.756216,2021-05-21 22:04:59.756,37,0,0,224,48,0,0,25,CAN=479.756216 Rx 0 $703 D 8 25 00 00 E0 30 00 00 19 
479.80721,2021-05-21 22:04:59.807,38,0,0,0,25,0,0,0,CAN=479.80721 Rx 0 $703 D 8 26 00 00 00 19 00 00 00 
479.858205,2021-05-21 22:04:59.858,39,25,0,0,0,152,5,0,CAN=479.858205 Rx 0 $703 D 8 27 19 00 00 00 98 05 00 
479.909202,2021-05-21 22:04:59.909,40,0,151,5,0,0,151,5,CAN=479.909202 Rx 0 $703 D 8 28 00 97 05 00 00 97 05 
479.960199,2021-05-21 22:04:59.960,41,0,0,25,0,0,0,25,CAN=479.960199 Rx 0 $703 D 8 29 00 00 19 00 00 00 19 
480.011199,2021-05-21 22:05:00.011,42,0,0,0,25,0,0,0,CAN=480.011199 Rx 0 $703 D 8 2A 00 00 00 19 00 00 00 
480.116097,2021-05-21 22:05:00.116,16,76,113,0,0,65,0,0,CAN=480.116097 Rx 0 $703 D 8 10 4C 71 00 00 41 00 00 
480.117497,2021-05-21 22:05:00.117,33,0,0,0,0,0,0,31,CAN=480.117497 Rx 0 $703 D 8 21 00 00 00 00 00 00 1F 
480.168186,2021-05-21 22:05:00.168,34,0,0,0,23,49,0,0,CAN=480.168186 Rx 0 $703 D 8 22 00 00 00 17 31 00 00 
480.219175,2021-05-21 22:05:00.219,35,15,49,0,0,16,49,0,CAN=480.219175 Rx 0 $703 D 8 23 0F 31 00 00 10 31 00 
480.270178,2021-05-21 22:05:00.270,36,0,205,48,0,0,214,48,CAN=480.270178 Rx 0 $703 D 8 24 00 CD 30 00 00 D6 30 
480.321174,2021-05-21 22:05:00.321,37,0,0,223,48,0,0,25,CAN=480.321174 Rx 0 $703 D 8 25 00 00 DF 30 00 00 19 
480.372173,2021-05-21 22:05:00.372,38,0,0,0,25,0,0,0,CAN=480.372173 Rx 0 $703 D 8 26 00 00 00 19 00 00 00 
480.423168,2021-05-21 22:05:00.423,39,25,0,0,0,152,5,0,CAN=480.423168 Rx 0 $703 D 8 27 19 00 00 00 98 05 00 
480.474163,2021-05-21 22:05:00.474,40,0,151,5,0,0,151,5,CAN=480.474163 Rx 0 $703 D 8 28 00 97 05 00 00 97 05 
480.52516,2021-05-21 22:05:00.525,41,0,0,25,0,0,0,25,CAN=480.52516 Rx 0 $703 D 8 29 00 00 19 00 00 00 19 
480.576161,2021-05-21 22:05:00.576,42,0,0,0,25,0,0,0,CAN=480.576161 Rx 0 $703 D 8 2A 00 00 00 19 00 00 00 
